(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(1, 1, 1)
(3, 1, 2)
(4, 2, 3)
(2, 2, 2)
(5, 3, 4)
(6, 4, 5)
(4, 2, 3)
(7, 5, 6)
(7, 3, 4)
(175, 164, 119)
(176, 164, 122)
(175, 163, 121)
(176, 165, 120)
(149, 148, 118)
(197, 172, 132)
(196, 171, 131)
(196, 172, 134)
(196, 172, 136)
(197, 171, 134)
(193, 188, 168)
(192, 189, 170)
(189, 187, 162)
(192, 187, 167)
(194, 189, 169)
(0, 0, 0)
(0, 0, 2)
(193, 185, 162)
(1, 0, 0)
(0, 1, 0)
(18, 17, 13)
(18, 20, 17)
(17, 16, 12)
(19, 18, 14)
(20, 22, 19)
(9, 10, 14)
(8, 12, 15)
(74, 65, 50)
(73, 64, 49)
(72, 63, 48)
(49, 45, 34)
(48, 44, 33)
(47, 43, 32)
(50, 46, 35)
(51, 47, 36)
(63, 56, 46)
(64, 57, 47)
(65, 58, 48)
(66, 59, 49)
(62, 55, 45)
(9, 9, 11)
(8, 8, 10)
(10, 12, 11)
(10, 10, 12)
(9, 11, 10)
(9, 11, 10)
(10, 12, 11)
(5, 3, 4)
(10, 10, 10)
(11, 13, 12)
(5, 3, 4)
(9, 10, 14)
(6, 4, 7)
(5, 3, 6)
(82, 93, 87)
(11, 20, 27)
(10, 19, 26)
(12, 21, 28)
(9, 18, 25)
(15, 25, 34)
(9, 9, 11)
(9, 10, 14)
(8, 12, 15)
(11, 16, 20)
(9, 13, 16)
(5, 3, 4)
(4, 2, 5)
(5, 3, 6)
(6, 4, 5)
(6, 4, 7)
(11, 21, 23)
(10, 20, 22)
(16, 26, 28)
(12, 22, 24)
(17, 27, 29)
(9, 19, 21)
(11, 16, 20)
(8, 18, 20)
(9, 14, 18)
(9, 17, 20)
(6, 4, 7)
(5, 3, 6)
(9, 10, 15)
(9, 9, 11)
(8, 8, 10)
(12, 17, 21)
(183, 189, 177)
(13, 18, 22)
(182, 188, 176)
(14, 19, 23)
(3, 4, 9)
(4, 5, 10)
(4, 7, 14)
(5, 8, 15)
(2, 3, 8)
(5, 10, 16)
