(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(19, 19, 9)
(20, 20, 10)
(18, 18, 8)
(16, 17, 9)
(17, 18, 10)
(43, 44, 49)
(37, 38, 42)
(44, 45, 50)
(36, 37, 42)
(37, 38, 43)
(55, 60, 64)
(56, 61, 65)
(54, 59, 63)
(48, 51, 56)
(53, 58, 61)
(14, 16, 13)
(13, 15, 12)
(11, 13, 10)
(10, 12, 9)
(15, 17, 14)
(159, 205, 238)
(164, 209, 240)
(160, 206, 239)
(94, 78, 62)
(165, 210, 241)
(29, 21, 19)
(35, 29, 29)
(30, 22, 20)
(36, 30, 30)
(28, 20, 18)
(116, 96, 85)
(117, 97, 86)
(115, 95, 84)
(118, 98, 87)
(128, 104, 92)
(255, 255, 255)
(60, 42, 30)
(58, 40, 28)
(59, 41, 29)
(57, 39, 27)
(105, 93, 71)
(61, 48, 39)
(105, 92, 76)
(38, 38, 28)
(62, 49, 40)
(80, 62, 42)
(84, 63, 44)
(81, 63, 43)
(83, 62, 43)
(80, 61, 44)
(75, 62, 56)
(153, 168, 173)
(70, 54, 41)
(71, 55, 42)
(152, 167, 172)
(81, 52, 22)
(81, 51, 23)
(80, 51, 21)
(82, 53, 23)
(75, 48, 19)
(172, 127, 98)
(165, 120, 91)
(171, 126, 97)
(164, 119, 90)
(166, 121, 92)
(82, 69, 60)
(83, 70, 61)
(84, 71, 62)
(81, 68, 59)
(90, 76, 65)
(152, 155, 162)
(153, 156, 163)
(151, 154, 161)
(154, 157, 164)
(150, 153, 160)
(83, 79, 67)
(96, 87, 72)
(213, 192, 149)
(214, 193, 150)
(95, 86, 71)
(167, 146, 115)
(175, 157, 121)
(176, 158, 122)
(168, 147, 116)
(174, 156, 120)
(50, 45, 39)
(162, 142, 105)
(49, 44, 38)
(161, 141, 104)
(154, 136, 100)
(98, 92, 94)
(97, 91, 93)
(93, 87, 91)
(99, 93, 95)
(98, 92, 92)
(1, 1, 1)
(0, 2, 1)
(0, 0, 0)
(52, 42, 30)
(51, 41, 29)
(158, 173, 178)
(156, 171, 176)
(158, 173, 176)
(165, 176, 180)
(166, 177, 181)
(1, 1, 1)
