(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(11, 12, 4)
(12, 13, 5)
(15, 17, 6)
(16, 18, 7)
(12, 14, 3)
(198, 200, 197)
(193, 195, 194)
(186, 190, 193)
(203, 204, 198)
(202, 203, 197)
(1, 1, 3)
(0, 0, 2)
(2, 2, 4)
(29, 35, 25)
(30, 36, 24)
(211, 224, 232)
(212, 225, 233)
(213, 226, 234)
(214, 227, 235)
(210, 223, 231)
(5, 1, 0)
(4, 0, 0)
(6, 0, 0)
(7, 1, 1)
(6, 2, 1)
(0, 0, 0)
(2, 0, 1)
(1, 0, 0)
(4, 0, 0)
(2, 1, 0)
(37, 39, 34)
(4, 0, 0)
(36, 38, 33)
(38, 40, 35)
(42, 44, 39)
(221, 228, 234)
(220, 229, 236)
(221, 228, 236)
(220, 229, 234)
(222, 229, 235)
(219, 224, 230)
(219, 223, 232)
(220, 225, 231)
(220, 224, 233)
(223, 228, 234)
(0, 4, 7)
(6, 9, 14)
(5, 8, 13)
(10, 12, 11)
(9, 11, 10)
(5, 8, 13)
(2, 5, 10)
(4, 7, 12)
(5, 9, 12)
(3, 7, 10)
(13, 9, 0)
(15, 8, 0)
(183, 178, 174)
(185, 177, 174)
(183, 178, 175)
(228, 231, 236)
(228, 229, 233)
(228, 230, 229)
(229, 230, 234)
(227, 229, 228)
(13, 9, 0)
(15, 11, 0)
(12, 8, 0)
(15, 8, 0)
(14, 10, 1)
(9, 12, 1)
(8, 11, 2)
(10, 13, 2)
(18, 26, 3)
(7, 10, 1)
(1, 3, 0)
(0, 0, 0)
(4, 5, 0)
(0, 2, 0)
(3, 5, 0)
(4, 5, 0)
(1, 6, 0)
(3, 5, 0)
(2, 4, 0)
(9, 11, 0)
(0, 0, 0)
(1, 1, 1)
(2, 2, 2)
(9, 10, 5)
(10, 11, 6)
(0, 0, 0)
(1, 0, 0)
(0, 1, 0)
(0, 0, 2)
(14, 0, 0)
(7, 9, 6)
(6, 8, 5)
(8, 10, 7)
(4, 6, 3)
(3, 5, 4)
(0, 0, 0)
(1, 1, 1)
(1, 0, 0)
(0, 0, 2)
(2, 0, 1)
(0, 0, 2)
