(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 53, 129)
(0, 33, 104)
(1, 54, 130)
(0, 42, 114)
(1, 57, 132)
(0, 26, 83)
(0, 27, 82)
(0, 25, 79)
(0, 22, 69)
(0, 20, 65)
(26, 33, 88)
(24, 33, 88)
(27, 34, 89)
(26, 33, 87)
(23, 32, 87)
(27, 19, 32)
(28, 20, 33)
(26, 18, 31)
(25, 17, 30)
(24, 14, 25)
(66, 49, 93)
(231, 94, 104)
(67, 50, 94)
(12, 9, 20)
(67, 50, 95)
(12, 32, 85)
(0, 7, 33)
(1, 9, 30)
(1, 8, 36)
(1, 9, 28)
(9, 18, 27)
(8, 17, 26)
(9, 15, 27)
(8, 15, 21)
(9, 17, 28)
(16, 4, 28)
(14, 5, 26)
(13, 4, 23)
(16, 6, 33)
(9, 6, 23)
(2, 10, 29)
(2, 12, 24)
(3, 11, 30)
(3, 10, 28)
(4, 12, 31)
(0, 3, 8)
(2, 7, 11)
(1, 6, 12)
(0, 3, 10)
(3, 12, 29)
(10, 18, 31)
(8, 14, 26)
(12, 17, 36)
(9, 15, 27)
(14, 21, 40)
(5, 21, 44)
(4, 31, 60)
(5, 28, 59)
(6, 26, 53)
(4, 27, 58)
(6, 9, 18)
(10, 14, 26)
(11, 15, 27)
(7, 11, 22)
(5, 8, 17)
(12, 20, 33)
(13, 21, 34)
(16, 23, 39)
(16, 24, 35)
(15, 22, 38)
(18, 22, 51)
(18, 23, 53)
(16, 22, 48)
(24, 28, 63)
(19, 23, 52)
(42, 40, 45)
(41, 39, 44)
(40, 38, 43)
(44, 42, 47)
(15, 10, 30)
(56, 70, 57)
(54, 68, 55)
(64, 78, 65)
(57, 71, 58)
(65, 79, 66)
(59, 69, 78)
(58, 68, 77)
(57, 66, 73)
(57, 67, 76)
(58, 67, 74)
(23, 21, 22)
(24, 22, 23)
(23, 23, 25)
(25, 23, 24)
(22, 22, 24)
(25, 15, 39)
(21, 27, 25)
(18, 13, 19)
(18, 10, 21)
(33, 29, 30)
(93, 117, 165)
(92, 116, 164)
(95, 119, 167)
(94, 118, 166)
(92, 116, 162)
(16, 16, 18)
