(0, 0, 0)
(1, 1, 1)
(0, 0, 0)
(1, 1, 1)
(2, 2, 2)
(3, 3, 3)
(4, 4, 4)
(0, 0, 0)
(1, 1, 1)
(2, 2, 2)
(3, 3, 3)
(4, 4, 4)
(0, 0, 0)
(1, 1, 1)
(2, 2, 2)
(3, 3, 3)
(4, 4, 4)
(0, 0, 0)
(1, 1, 1)
(0, 0, 0)
(1, 1, 1)
(2, 2, 2)
(3, 3, 3)
(4, 4, 4)
(0, 0, 0)
(1, 1, 1)
(2, 2, 2)
(3, 3, 3)
(4, 4, 4)
(187, 189, 28)
(188, 190, 29)
(186, 188, 27)
(187, 189, 26)
(188, 190, 27)
(119, 124, 127)
(120, 125, 128)
(118, 123, 126)
(121, 125, 128)
(125, 129, 132)
(145, 156, 150)
(146, 157, 151)
(144, 155, 149)
(143, 154, 148)
(138, 149, 143)
(18, 29, 23)
(17, 28, 22)
(19, 30, 24)
(16, 27, 21)
(24, 35, 29)
(157, 182, 204)
(158, 183, 205)
(158, 182, 206)
(163, 183, 207)
(161, 183, 206)
(161, 185, 209)
(162, 186, 210)
(159, 187, 209)
(164, 188, 212)
(45, 54, 61)
(3, 3, 3)
(4, 4, 4)
(5, 5, 5)
(5, 3, 4)
(2, 2, 2)
(4, 5, 0)
(5, 6, 1)
(1, 3, 0)
(3, 4, 0)
(6, 5, 3)
(14, 8, 8)
(13, 7, 7)
(15, 9, 9)
(9, 8, 6)
(63, 56, 48)
(9, 9, 11)
(8, 8, 10)
(6, 6, 8)
(5, 5, 7)
(10, 10, 12)
(11, 9, 10)
(12, 10, 11)
(10, 8, 9)
(21, 15, 15)
(22, 16, 16)
(116, 131, 154)
(117, 132, 155)
(122, 136, 162)
(138, 153, 186)
(137, 152, 185)
(174, 190, 205)
(182, 198, 213)
(190, 204, 215)
(191, 205, 216)
(187, 203, 218)
(9, 10, 5)
(3, 5, 2)
(8, 9, 4)
(10, 11, 6)
(2, 4, 1)
(187, 194, 210)
(48, 77, 49)
(43, 71, 46)
(47, 76, 48)
(188, 193, 212)
(20, 15, 12)
(21, 16, 13)
(19, 14, 11)
(22, 17, 14)
(23, 18, 15)
(60, 74, 49)
(59, 73, 48)
(61, 75, 50)
(59, 74, 51)
(58, 72, 47)
(0, 0, 2)
(0, 1, 5)
(1, 1, 3)
(1, 2, 6)
(11, 9, 12)
(1, 4, 9)
(0, 3, 8)
(2, 3, 8)
(2, 5, 10)
(0, 4, 7)
(24, 24, 26)
(25, 25, 27)
(26, 26, 28)
(23, 23, 25)
(23, 24, 28)
(3, 4, 9)
(4, 5, 10)
(5, 8, 13)
(6, 9, 14)
(4, 7, 12)
(2, 3, 7)
(3, 4, 8)
(1, 2, 6)
(1, 5, 4)
(3, 5, 4)
(0, 4, 3)
(1, 3, 2)
(0, 2, 1)
(2, 4, 3)
(134, 149, 156)
(10, 10, 10)
(11, 11, 11)
(9, 9, 9)
(12, 12, 12)
(8, 10, 9)
(3, 4, 8)
(2, 3, 7)
(4, 5, 9)
(6, 7, 11)
(7, 8, 12)
(5, 5, 5)
(4, 4, 4)
(3, 5, 4)
(6, 6, 6)
(2, 4, 3)
(0, 0, 0)
(1, 1, 1)
(3, 3, 3)
(4, 4, 4)
(2, 2, 2)
(5, 5, 5)
(5, 3, 4)
(4, 5, 0)
(5, 6, 1)
(3, 4, 0)
(6, 5, 1)
(5, 4, 0)
(4, 3, 1)
(3, 2, 0)
(59, 50, 35)
(5, 1, 0)
(10, 2, 0)
(63, 59, 47)
(68, 64, 52)
(64, 60, 48)
(69, 65, 53)
(67, 63, 51)
(68, 64, 52)
(63, 59, 47)
(69, 65, 53)
(62, 58, 46)
(64, 60, 48)
(68, 64, 52)
(64, 60, 48)
(69, 65, 53)
(2, 4, 3)
(65, 61, 49)
(8, 3, 0)
(10, 2, 0)
(11, 1, 0)
(5, 1, 0)
(66, 59, 43)
(223, 224, 219)
(224, 225, 220)
(222, 223, 218)
(230, 229, 225)
(231, 230, 226)
(212, 214, 213)
(213, 215, 214)
(214, 216, 215)
(217, 218, 213)
(215, 217, 216)
(5, 10, 6)
(4, 9, 5)
(2, 7, 3)
(3, 8, 4)
(6, 11, 7)
(4, 9, 5)
(5, 10, 6)
(2, 7, 3)
(3, 8, 4)
(6, 11, 7)
(0, 0, 2)
(138, 145, 151)
(137, 144, 150)
(132, 139, 145)
(131, 138, 144)
(2, 2, 4)
(2, 2, 2)
(4, 2, 3)
(3, 3, 3)
(3, 1, 2)
(6, 0, 0)
(7, 1, 1)
(4, 0, 0)
(8, 2, 2)
(1, 1, 1)
(182, 170, 158)
(181, 169, 157)
(180, 168, 156)
(183, 171, 159)
(119, 124, 128)
(174, 170, 158)
(175, 171, 159)
(180, 170, 158)
(173, 175, 164)
(176, 172, 160)
(44, 67, 117)
(43, 66, 116)
(88, 114, 151)
(45, 68, 118)
(44, 68, 116)
(78, 91, 74)
(71, 85, 70)
(70, 84, 69)
(79, 92, 75)
(77, 90, 73)
(1, 5, 4)
(3, 5, 4)
(4, 6, 5)
(2, 6, 5)
(0, 4, 3)
(1, 3, 2)
(0, 2, 1)
(2, 4, 3)
(40, 49, 28)
(41, 50, 29)
(40, 52, 28)
(39, 51, 27)
(45, 57, 33)
(44, 58, 33)
(46, 60, 35)
(219, 209, 217)
(217, 210, 218)
(220, 210, 218)
(218, 208, 216)
(216, 209, 217)
(222, 212, 220)
(221, 211, 219)
(219, 213, 217)
(223, 213, 221)
(218, 212, 216)
(34, 42, 21)
(36, 44, 23)
(41, 49, 28)
(35, 43, 22)
(40, 48, 27)
(215, 214, 219)
(214, 213, 218)
(216, 215, 220)
(215, 214, 222)
(217, 215, 220)
(1, 3, 0)
(0, 4, 0)
(0, 2, 0)
(0, 7, 0)
(0, 5, 0)
(3, 4, 8)
(5, 5, 7)
(6, 6, 6)
(2, 3, 7)
(51, 40, 36)
(27, 23, 24)
(26, 22, 23)
(28, 24, 25)
(19, 17, 18)
(25, 21, 22)
(24, 24, 26)
(23, 23, 25)
(25, 25, 27)
(26, 26, 28)
(30, 30, 32)
(2, 4, 3)
(1, 3, 2)
(0, 2, 1)
(3, 5, 4)
(52, 66, 41)
(57, 79, 154)
(56, 78, 153)
(63, 86, 164)
(81, 118, 199)
(64, 87, 165)
(0, 0, 0)
(1, 1, 1)
(0, 2, 1)
(3, 2, 0)
(45, 36, 29)
(7, 8, 12)
(8, 9, 13)
(6, 7, 11)
(9, 10, 14)
(4, 5, 10)
(10, 8, 11)
(9, 7, 10)
(11, 9, 12)
(8, 7, 12)
(9, 9, 11)
(5, 5, 5)
(5, 5, 7)
(6, 6, 6)
(4, 4, 6)
(6, 6, 8)
(6, 11, 14)
(5, 10, 13)
(5, 9, 12)
(6, 10, 13)
(8, 14, 12)
(8, 12, 11)
(7, 11, 10)
(10, 12, 11)
(11, 13, 12)
(9, 11, 10)
(0, 2, 1)
(11, 19, 8)
(1, 3, 0)
(12, 20, 9)
(0, 2, 0)
(171, 144, 123)
(170, 143, 122)
(172, 145, 124)
(171, 143, 122)
(167, 139, 118)
(40, 64, 88)
(39, 63, 87)
(30, 47, 67)
(31, 48, 68)
(41, 65, 89)
(1, 5, 4)
(0, 4, 3)
(2, 6, 9)
(1, 5, 8)
(4, 9, 13)
(4, 4, 4)
(6, 4, 5)
(11, 5, 5)
(12, 6, 6)
(5, 5, 5)
(2, 4, 3)
(1, 3, 2)
(4, 4, 4)
(6, 5, 3)
(11, 5, 5)
(3, 2, 0)
(8, 3, 0)
(7, 2, 0)
(22, 11, 7)
(19, 8, 4)
